Unnamed: 0,CCNB1,ZWINT,PBK,KPNA2,HOXC13,ATAD2,HOXA10,WWC2,PRKCE,CKS1B,HECW2,TGFBR2,RIMS2,PREX2,SLC1A1,LIMCH1,GGH,UTRN,TMEM100,TSKU,GPD1L,CITED2,PTPRM,LEPR,GIMAP6,TFR2,RECK,MAGEA10,ELOVL4,GATA6,SLC7A11,LRRK2,CSAG1,SLC19A3,MSR1,GRM4,MAGEA12,ARHGAP29,PAX3,GRIP1,C2,DDAH1,CPB2,KCNQ5,GMFG,LEFTY2,ITM2A,TBX18,ENPP4,BEND6,AKAP12,NR3C2,LST1,ANXA3,LPCAT1,ULBP2,PGC,COX7B2,VTN,SERTM1,PRDM16,TLR8,POPDC3,PAH,VWDE,SELE,GREB1L,ADAMDEC1,SYNDIG1,PROK2,GTSF1,GREM2,RND2,SLC22A3,HOXA9,AHSG,SLC38A4,RBP4,GLDC,ELAVL2,MAEL,SERPIND1,F2,TM4SF5
TCGA-18-3406-01,2743,741,693,5999,55,988,124,375,238,1778,274,2446,184,115,207,1449,3556,765,126,1571,389,1497,737,1080,450,27,446,1949,520,343,146,493,4,154,4234,8,1,830,7,244,342,420,21,46,1300,11,1489,9,758,59,548,138,949,2930,1323,3948,73,849,5,7,12,343,3,21,323,500,9,978,92,49,2026,19,64,690,1,16,83,43,16,0,8,4,0,0
TCGA-18-3407-01,2120,1037,1176,7173,116,1931,174,569,879,1150,557,2880,0,233,1407,1695,1785,3301,42,8566,740,1698,1170,452,510,122,528,3,33,421,7430,2966,145,187,1749,3,213,1172,1,224,547,1418,18,177,652,8,462,622,384,150,1182,270,220,983,4542,288,336,0,10,1,159,91,325,82,14,628,24,313,82,9,45,32,488,681,20,5,25,2,23,8,8,198,0,0
TCGA-18-3408-01,1756,1572,1235,5162,251,1528,138,460,468,2373,334,3295,422,152,132,3140,3338,2098,272,3482,838,780,469,357,940,19,504,3,197,152,10024,2509,1,42,2648,1,0,1171,6,181,361,700,2,432,868,5,905,760,428,462,398,130,615,5220,2876,873,369,0,4,4,45,329,25,90,1057,28,175,777,57,2,24,35,626,476,16,64,221,89,48,2,7,63,0,1
TCGA-18-3410-01,5677,5189,2878,14553,24,5742,261,399,280,3704,1012,1864,535,118,414,588,8970,4182,21,5208,746,4876,1692,403,1226,160,182,2828,469,225,600,567,89,43,3029,3201,2,601,131,842,328,341,19,438,1051,20,1213,9,2746,117,307,249,788,3634,1843,810,37,3,12,0,540,469,806,1180,134,1060,18,3286,111,23,7239,8,38,7468,75,5,190,2,66,2,1,1,0,0
TCGA-18-3411-01,8939,2768,3143,16530,329,3459,385,160,616,7366,325,2490,84,70,67,5104,4788,2006,12,15446,1272,1591,394,3048,1072,483,258,6,404,69,9173,298,1249,26,5279,5,1968,2861,0,101,396,1278,6,362,1139,1,626,856,323,608,530,32,978,1786,2969,157,6,0,8,201,20,490,990,4,824,243,115,1637,247,3,1303,4,2284,24,16,264,144,202,54,1,2,12,0,4
TCGA-18-3412-01,8731,3356,641,19551,119,3916,197,260,1380,4737,492,1659,78,111,1215,631,3389,3248,121,7882,3752,1091,408,964,620,296,306,13,499,86,7005,339,2,182,3167,68,2,2426,2,92,325,958,13,98,715,7,772,197,1015,171,496,67,558,815,1524,1036,222,0,7,0,33,134,112,0,13,123,8,629,92,12,43,47,892,86,11,6,135,47,93,1,2,54,0,0
TCGA-18-3414-01,3708,3342,2374,11234,305,3917,361,660,404,4597,950,5638,835,131,863,930,4587,1732,38,4355,1749,3223,960,598,653,296,313,2591,437,104,424,686,170,106,2604,131,260,897,93,337,395,951,44,366,843,13,894,580,1007,367,531,1236,657,4348,5819,1354,54,18,3,0,72,143,46,2,525,195,37,613,94,128,1662,16,275,86,268,17,428,115,17,2,233,32,1,1
TCGA-18-3415-01,4531,1729,1480,14353,121,1892,207,434,730,4806,238,1602,30,66,186,715,2704,922,41,10194,732,1133,437,403,565,175,406,2,134,99,5185,269,0,129,1560,26,0,452,3,170,423,297,1,195,849,1,838,412,1248,286,366,44,655,603,2444,92,22,0,4,78,95,228,293,15,74,392,61,916,274,16,35,2,258,46,9,6,22,2,87,17,1,3,0,0
TCGA-18-3416-01,4204,5132,1281,16730,31,4188,169,532,378,3609,291,2139,9,50,226,81,1989,3121,7,4035,852,1690,792,415,1614,214,184,0,62,12,10789,367,1,163,1459,1,0,414,139,300,686,289,2,41,900,0,784,473,249,114,97,547,631,489,3174,437,2,1,5,0,241,671,2,0,3,47,5,2514,266,17,16,0,82,5,5,2,43,1,108,1,2,9,0,0
TCGA-18-3417-01,1216,682,344,4150,34,1211,205,281,149,1571,138,1498,3,35,167,406,1400,522,83,2302,393,470,358,196,149,118,243,0,53,71,236,111,1,17,740,7,1,225,2,49,232,573,1,73,413,2,208,141,424,135,654,32,260,953,1232,295,177,0,5,0,2,49,200,0,182,44,28,170,278,4,33,24,238,72,5,0,45,74,18,1,8,1,0,1
TCGA-18-3419-01,4453,3187,681,12631,432,5458,120,327,607,1628,214,1189,104,58,591,122,3133,822,5,2228,3233,610,822,163,702,433,117,2871,575,76,1001,412,0,146,979,338,0,259,15,114,423,1122,8,4,567,1,385,17,285,2,161,25,395,580,1225,651,3,207,9,4,14,419,9,13,1,47,5,967,3,43,11,2,309,63,9,11,13,21,30,49,0,5,4,0
TCGA-18-3421-01,4052,2391,2244,9185,64,3695,140,294,260,6471,169,1433,424,68,232,414,6550,719,155,1851,3957,929,308,159,564,89,129,0,98,103,826,1156,2,36,1363,31,0,598,2,261,599,489,0,152,1264,2,1047,214,609,329,319,177,860,1651,3486,587,279,0,4,4,78,183,4,3,161,55,244,846,21,38,28,9,36,187,9,10,118,77,114,1,1,55,0,0
TCGA-18-4086-01,5295,3594,2373,13219,78,3984,121,536,630,3925,426,3133,248,132,147,2672,5591,4468,37,9581,1048,1594,796,744,895,72,536,134,542,122,12150,465,1,53,2525,21,3,2088,1,708,534,794,5,285,893,10,585,835,257,256,866,51,520,2785,3587,280,88,2,15,20,251,240,169,21,113,434,14,803,548,15,45,14,590,101,12,50,84,16,174,1,2,33,0,0
TCGA-18-4721-01,1431,795,444,6562,127,1465,126,464,273,1494,232,1995,353,53,221,551,1378,1490,61,2996,744,784,400,128,868,125,223,0,329,87,3165,319,0,49,1565,0,2,316,14,118,442,251,2,467,458,0,414,341,289,137,706,142,254,243,1446,185,48,2,3,43,27,381,46,3,266,170,69,1502,344,3,6,7,96,40,7,0,25,24,47,2,0,42,0,0
TCGA-18-5592-01,4486,3817,1743,15098,207,4358,848,846,1098,6418,432,2453,71,67,36,3637,2974,3260,17,18893,930,835,453,250,406,328,362,3,56,56,3248,332,2,85,470,27,2,247,30,53,787,391,0,504,285,4,231,1714,140,758,314,23,185,265,7661,120,8,0,6,30,267,72,1481,8,303,91,152,146,2485,3,3,12,614,419,14,30,124,9,29,1,0,4,1,2
TCGA-18-5595-01,10757,11347,1681,16487,117,14423,222,461,1118,4324,521,3422,1419,177,1255,1549,9468,8109,149,11253,3585,3504,844,217,418,28,249,5,1076,119,40562,1404,1,100,842,31,2,1224,1,1673,539,755,32,667,288,18,543,1,422,342,638,180,144,1519,4308,1140,295,0,12,14,892,63,53,4,21,47,9,78,857,1,6,14,72,520,48,27,19,103,20,572,1,148,2,2
TCGA-21-1075-01,6155,3622,2199,15113,91,4818,19,421,576,5272,231,2040,246,58,67,4679,10251,4176,48,11260,716,4713,190,462,141,128,551,6,164,63,23989,1019,56,40,414,15,83,435,0,1039,210,1710,3,925,238,3,271,1,114,810,568,96,161,1749,3493,157,68,97,0,286,51,13,141,7,412,57,710,43,25,3,17,5,705,285,22,233,36,3,130,3,0,13,0,0
TCGA-21-1076-01,2731,1898,542,8025,532,3782,169,1523,1085,1233,1134,9347,885,509,1007,2658,1581,10120,298,3911,1794,4367,2788,717,1849,184,918,286,1046,479,6107,4979,4,195,9608,17,3,1927,9,225,2756,2509,114,381,2367,41,1406,652,953,236,1284,397,1565,1839,9778,708,2083,67,10,5,213,1256,239,8,108,255,84,7892,249,10,62,43,83,777,24,21,88,479,201,2,233,250,1,1
TCGA-21-1077-01,4860,2133,3123,10992,188,1906,345,830,776,2325,469,4290,57,227,148,1988,3918,3681,90,8197,1569,2224,1913,434,461,379,486,483,242,257,4111,1500,0,105,2365,34,0,503,291,596,604,1142,17,147,879,3,573,1015,1444,178,1419,100,532,3107,8685,172,1306,0,11,5,122,194,321,16,1038,128,346,442,178,8,1809,84,1066,262,34,222,58,129,105,8,7,100,0,0
TCGA-21-1078-01,1503,1162,246,3055,205,1194,967,618,563,819,299,3680,564,86,747,3312,1136,1591,147,12557,3558,8159,11281,409,614,56,157,0,24,61,193,103,0,7,309,71,1,391,41,346,263,891,5,3,251,10,558,0,1868,42,387,535,105,184,2930,430,18,0,6,0,15,19,5,1,220,3,14,29,14,0,7,25,101,35,23,0,21,52,25,4,6,18,3,1
TCGA-21-1079-01,2766,1787,645,6659,1255,2448,343,857,477,2226,746,4148,33,151,124,342,1615,1987,26,11401,300,2172,1500,307,346,101,480,4,120,114,449,62,0,25,834,92,1,1992,101,250,545,247,10,86,428,0,151,1029,42,222,1797,11,222,4805,8253,1021,5,0,9,1,35,116,607,3,1,115,29,177,210,15,820,15,25,3237,34,0,837,10,150,161,0,18,0,0
TCGA-21-1080-01,4097,3037,655,14046,222,5009,532,367,501,2641,418,1690,136,67,304,286,3571,1586,38,2990,1673,3820,568,2390,508,101,243,1,1738,397,305,783,2,37,1381,35,1,352,11,34,426,969,14,41,468,9,395,1,1811,85,468,73,260,226,12545,1717,67,2,4,0,20,244,214,4,430,30,273,1011,43,12,27,3,185,227,10,0,880,90,29,0,1,18,0,1
TCGA-21-1083-01,4407,5272,513,14578,31,7347,539,850,391,4852,552,3397,244,52,83,1231,3616,8643,91,15021,1686,3742,2035,705,680,219,772,1995,279,204,8654,527,27,40,3503,1181,1,893,448,555,858,1260,47,2095,698,8,722,1124,1589,72,689,117,380,234,2652,190,18,0,7,0,115,283,307,131,231,82,48,1564,196,5,269,56,125,99,1076,5,13,27,51,84,10,3,2,1
TCGA-21-5782-01,1197,1890,195,2993,130,2006,97,214,476,846,324,1169,238,157,104,379,882,1166,62,2277,372,1247,510,210,212,191,188,38,105,91,172,286,83,94,236,203,60,573,157,131,511,420,84,131,288,25,111,189,238,118,410,211,153,232,3648,761,111,15,48,31,142,20,27,113,154,48,164,103,117,16,189,35,65,90,10,90,69,27,136,57,31,76,37,9
TCGA-21-5784-01,1599,1716,524,5861,327,1467,598,464,727,2551,891,6316,425,193,694,2853,3376,1483,697,4476,1250,2614,1252,439,799,126,307,3,88,891,87,2687,8,300,1276,65,6,745,4,228,1526,1354,20,90,1723,53,1092,233,659,139,1380,709,1304,1786,5439,860,3573,0,48,3,136,165,8,5,49,108,6,526,93,8,8,81,208,622,19,105,49,116,40,1,6,447,7,0
TCGA-21-5786-01,4037,6151,1219,15320,1112,5370,292,1021,1539,2952,557,3521,595,98,82,487,4690,2257,58,7883,1874,2365,1034,185,488,340,427,74,366,175,284,282,312,91,521,1648,443,3933,479,899,517,992,7,27,599,0,434,294,283,347,1073,69,362,1001,9330,398,30,2,17,0,188,114,73,14,52,183,116,461,930,20,11,26,450,106,130,75,194,104,134,56,6,5,3,1
TCGA-21-5787-01,5324,6894,1569,11987,115,3736,314,1121,417,4440,955,4123,6,347,79,2826,4040,2847,94,5714,822,5370,4315,331,1482,65,321,1502,34,340,1104,1033,2051,42,2188,329,2123,3517,0,151,5461,10358,6,124,1581,5,1341,274,1199,47,735,148,762,1185,13333,89,784,46,46,3,47,370,244,6,1,116,124,1088,140,2,28,48,11,1478,134,58,17,2573,1986,3,0,15,31,0
TCGA-21-A5DI-01,2133,2034,481,3070,144,2219,119,515,156,1119,61,1912,120,24,182,179,2319,1055,9,3282,310,667,596,178,79,62,101,3,43,164,725,23,2,30,79,23,0,245,21,1812,75,142,4,24,160,2,33,256,33,99,913,32,89,3134,3177,1067,4,0,2,0,16,6,42,0,41,4,8,10,91,2,5,6,47,36,23,2,59,2,16,1,0,2,1,0
TCGA-22-0940-01,9406,3456,3067,15447,492,4366,405,1185,721,7207,331,6072,755,106,196,2386,5780,2032,227,15907,1218,3079,1504,305,1678,123,709,1,632,423,3435,2451,121,254,4537,16,0,708,18,685,1281,1066,15,189,1419,16,1158,10,483,106,1621,718,1261,1696,7870,416,816,1,7,9,89,579,1183,15,313,264,35,1580,239,14,32,12,713,1016,38,20,58,122,269,428,6,141,0,0
TCGA-22-1011-01,2614,1550,888,5286,137,3217,295,330,561,1523,621,5210,248,176,715,1357,1846,2601,137,2831,1482,2555,1383,601,1224,75,325,1,44,201,298,631,3,113,1636,517,0,1654,4,228,619,851,3,118,1207,16,1215,293,655,188,1536,350,517,807,4631,581,7,0,10,9,38,246,10,1,50,629,17,864,97,6,38,18,36,157,23,2,149,13,390,8,0,18,1,2
TCGA-22-1012-01,5222,3461,2102,17854,250,2865,11,355,282,4651,207,1119,1078,44,174,1209,3459,1753,41,4598,709,1360,447,273,284,163,242,565,946,111,891,570,5,30,813,11,2,1101,540,98,424,653,7,29,630,5,501,1201,462,322,203,80,375,502,5976,946,216,106,10,3,29,68,590,11,219,135,10,294,73,4,614,14,839,98,3,8,76,14,626,224,17,27,0,0
TCGA-22-4591-01,3422,6432,1144,18250,288,8239,449,1204,3440,2708,563,6091,307,113,1422,3401,3533,2391,198,11117,5000,14506,1043,863,581,1880,330,0,1218,222,17340,2161,3,207,1794,163,0,12640,17,33,620,4168,31,1083,521,2,767,84,1701,625,546,1966,303,2362,12566,1166,317,1112,7,202,84,191,42,10,714,44,956,774,18,6,27,24,1084,304,16,20,62,93,10,34,2,467,0,0
TCGA-22-4594-01,4933,2856,542,9760,366,2693,131,475,272,2044,695,4608,11,99,178,1790,827,2240,121,5552,1660,3803,742,305,1808,49,622,0,309,281,4841,386,10,117,3091,68,4,2367,5,188,914,2358,34,27,1690,54,1617,136,3389,160,1057,799,959,1244,83698,57,78,0,14,12,527,423,742,1215,82,91,75,2097,186,28,105,28,869,145,19,1,115,17,378,100,18,16,13,14
TCGA-22-4595-01,6413,3465,774,30079,319,4619,222,1509,1559,2338,693,6671,1485,137,399,1578,5816,4796,99,6231,1524,1863,1731,310,1296,354,1088,4093,1420,319,562,2149,33,46,4918,64,39,1539,10,235,1030,1937,14,69,731,5,436,9,1256,364,1781,266,529,885,8734,2397,315,12,6,2,249,775,39,5,399,7,296,1248,414,6,2522,46,122,478,206,29,101,23,41,1,4076,75,2,0
TCGA-22-4596-01,2409,1220,335,4261,10,3360,196,1306,989,1225,1224,10683,20,275,424,17518,1595,3617,2727,3531,2923,6145,1897,1083,2954,135,776,0,136,419,717,6132,1,209,3409,19,1,2686,0,223,1126,2406,86,294,2277,9,1831,25,1461,204,1753,357,2489,1381,29447,87,1491,1,54,10,204,1141,22,2,206,86,185,2992,477,31,67,68,71,951,15,1,41,177,92,1,9,207,1,1
TCGA-22-4601-01,976,953,232,3814,178,1818,70,456,292,1255,324,1594,327,79,38,1853,589,1307,67,3572,491,672,928,218,333,80,147,1,29,128,6227,1024,0,31,893,22,1,329,4,521,360,720,35,74,136,5,215,177,930,41,487,86,113,2323,2987,269,314,0,5,15,149,154,10,30,621,55,118,150,15,13,5,10,326,110,18,18,31,50,97,0,1,103,0,0
TCGA-22-4604-01,3730,3326,1256,11763,545,4389,347,987,1161,2180,794,7261,181,139,96,922,3403,5562,66,6913,5393,2286,1716,674,2023,679,1557,618,344,502,1248,743,0,90,8910,27,0,774,32,330,1414,1920,2,631,1197,0,629,248,1353,322,2240,124,954,1839,4404,731,4,0,16,4,95,1067,120,34,107,34,72,3775,606,16,948,317,500,64,50,48,166,1907,271,2,8,5,5,0
TCGA-22-4607-01,4186,5365,1554,14363,211,3199,627,432,821,6416,336,3726,312,100,470,1011,5321,1526,82,6032,1886,1405,1096,277,872,1038,382,0,65,221,561,194,4,51,4079,15,0,1688,8,198,523,2022,1,190,1051,8,657,533,2686,130,529,249,735,2759,3068,915,1,0,27,3,17,182,3,0,171,61,254,568,259,35,12,7,40,63,46,29,44,10,50,38,10,4,2,0
TCGA-22-4613-01,2161,1301,472,10028,6,2066,168,184,271,1740,96,1385,102,44,146,434,1704,1075,23,1826,846,881,329,558,518,154,209,776,256,77,469,447,838,24,2114,3,1158,235,17,85,506,1194,7,164,478,5,332,287,589,51,347,86,308,294,1546,346,94,13,14,1,9,273,27,8,133,90,17,773,27,38,307,6,289,26,16,8,9,37,87,11,69,22,0,2
TCGA-22-5471-01,4857,5282,865,12768,1348,4966,416,663,460,6464,287,2111,470,84,129,558,4698,1504,20,7722,1299,619,1573,150,876,479,338,2474,346,120,986,325,22,41,1118,92,7,785,464,213,1179,607,6,483,1492,1,1213,156,569,383,383,31,1109,1424,3818,383,2,0,39,1,232,223,187,19,436,702,35,447,323,4,96,30,1548,9,57,98,38,212,231,3,3,15,6,0
TCGA-22-5472-01,2088,2227,666,5256,189,2864,341,994,1069,1708,827,10875,340,378,779,3697,1540,8277,1196,7002,2970,4605,1705,520,1463,211,405,1,27,441,170,9572,0,405,3515,97,0,1915,15,341,1234,2401,324,353,1083,22,1006,1122,1537,61,1120,776,999,1983,21299,1196,4043,0,35,40,244,421,2,1,35,40,37,114,39,24,38,78,64,639,18,93,611,613,8,8,0,3162,0,0
TCGA-22-5473-01,6658,2668,1659,18740,93,4143,969,962,609,4394,622,2878,254,46,2127,2871,9027,3095,46,10677,1044,3018,909,496,554,983,760,12,226,147,16005,1989,284,175,2307,2,443,576,1,282,488,957,0,1238,613,2,294,213,509,486,1053,182,385,447,9424,433,592,1,5,62,139,92,19,5,306,15,156,400,1757,3,16,46,1641,503,28,24,90,15,193,10,13,705,5,1
TCGA-22-5474-01,4329,3335,2073,14981,245,4426,303,548,975,4716,792,6871,614,215,688,3397,5306,6071,204,14215,3021,2792,1219,758,3907,675,741,3,101,204,11712,1199,7,30,5168,107,3,900,2,543,2559,527,1,98,1649,6,1088,10,2030,472,1290,174,1029,2950,8080,141,2,0,12,2,330,897,210,257,1132,150,169,4846,862,8,44,32,2329,64,66,303,46,129,333,10,5,23,4,1
TCGA-22-5477-01,4876,7708,2016,17641,363,8249,937,1013,1218,2714,725,4843,1033,178,230,1455,5425,13079,286,11080,1277,2336,1904,824,1018,307,752,9,2388,692,30874,3068,6,157,2193,11,2,1065,17,3014,565,1862,18,1058,584,7,633,458,678,367,1567,2348,384,1857,10334,255,508,0,30,8,131,340,194,522,1948,85,689,705,1006,5,22,19,1862,184,51,154,621,390,49,14,3,68,6,1
TCGA-22-5478-01,3195,4043,824,19176,675,7107,1311,2294,1612,2357,1454,10280,332,168,751,6979,2932,6071,148,3766,4100,7754,2523,481,981,779,595,1716,814,670,746,1300,2097,126,2175,52,2346,3779,18,1188,690,6732,44,797,820,29,489,880,1781,450,5767,2265,428,4489,26798,654,2474,841,38,549,125,295,58,12,204,253,17,1073,437,6,30,28,1386,306,63,30,1420,111,41,2,5,47,10,6
TCGA-22-5480-01,7344,3507,734,9874,675,3728,29,2372,977,3573,654,4208,819,362,581,4145,1613,6171,73,5469,1005,3667,3173,995,1420,131,488,4,242,911,485,2663,945,187,1086,832,20,1784,22,1667,1123,1239,21,213,1327,9,1154,26,575,231,895,663,995,1108,7627,542,712,0,7,8,731,395,432,6,532,10307,22,1662,1058,5,19,55,562,3847,2,13,57,83,73,258,17,796,1,0
TCGA-22-5482-01,3930,3712,2719,7792,115,3853,139,1031,532,3193,2221,3309,285,72,157,4122,4300,4749,19,14830,543,3453,756,183,289,401,685,9,519,267,13972,221,3,23,901,49,7,1642,12,1154,349,656,2,541,444,1,134,32,101,524,537,59,329,2894,10062,5412,10,0,3,24,453,62,2153,2,314,6,240,82,2017,5,15,19,61,634,54,128,66,29,55,1,2,8,7,0
TCGA-22-5483-01,8899,6288,4192,26815,543,10262,468,1318,1566,6748,886,6893,1320,714,216,809,36384,18594,72,11553,1179,1426,6491,609,1756,290,1090,1,114,228,18029,671,3,567,7447,348,2,1475,0,59,1131,1361,3,166,1224,3,1212,455,5885,1093,12778,68,792,3026,7774,148,44,0,22,3,121,621,2885,1481,202,909,422,2617,780,12,10,652,1025,136,15,14,82,5559,170,36,7,224,6,2
TCGA-22-5485-01,5573,6311,1342,22770,106,5763,203,791,926,5989,639,5369,291,117,201,3594,3700,9843,291,20790,1214,3329,733,1063,728,180,404,7,18,224,15148,2643,590,99,2184,11,845,960,0,829,1424,1418,28,468,580,5,412,3,377,242,570,196,562,799,14801,214,1662,0,22,46,703,337,621,63,957,47,21,446,364,7,11,8,1607,1268,6,67,259,186,12,1,2,336,1,1
TCGA-22-5489-01,7633,2170,2013,13749,196,6932,220,1653,831,5397,1302,8869,310,273,500,2698,2451,5892,80,6054,1508,3938,3597,740,2454,53,1269,1893,137,586,344,1272,34,67,7724,1060,0,1661,311,1229,1426,1531,24,580,1823,6,3595,192,1334,130,1580,404,1104,1055,7041,296,1071,0,29,4,198,436,333,28,237,8592,44,2524,636,14,2476,62,308,531,23,3,54,88,88,17,44,6,0,0
TCGA-22-5491-01,5494,6289,2483,12324,399,5791,509,475,1193,5845,559,2188,515,216,361,1177,7637,3423,52,10241,3575,2352,887,547,689,179,238,1693,795,150,1100,834,7,69,1400,113,11,641,4,545,474,1416,3,580,738,3,479,990,466,172,252,458,535,5742,1143,2926,0,0,26,14,16,235,24,42,32,492,255,963,88,5,92,38,442,37,21,255,250,126,358,13,2,4,6,2
TCGA-22-5492-01,3725,6682,1157,14344,832,8924,376,1100,1301,2416,1425,11304,3,246,1477,3000,3148,6975,1081,11834,2621,4296,1466,1495,2666,118,521,3,114,942,1287,5735,2066,152,2275,3,2443,1357,67,250,1771,3188,75,170,1600,8,1385,470,1273,37,1632,2435,1095,2126,13208,306,1219,0,11,10,223,853,3,20,23,92,9,1359,93,20,43,133,160,585,125,54,174,231,56,3,4,587,2,2
TCGA-22-A5C4-01,3803,4222,885,9380,576,4884,1052,586,977,2981,509,5353,35,156,551,8123,4552,6206,107,4570,3722,6308,4425,843,511,778,142,5,531,269,3299,2076,0,139,1355,1132,0,3890,55,1053,473,7241,22,1313,682,4,347,395,1157,354,772,880,266,1906,20810,420,390,162,21,18,82,138,2,2,383,177,306,242,1491,7,48,12,214,235,127,1,5557,203,43,1,0,100,4,3
TCGA-33-4532-01,8165,5053,1512,19400,69,5837,269,404,1363,2768,241,3145,470,92,888,1253,5187,1835,86,5184,2467,1977,380,482,340,524,198,10,732,102,6497,2803,3421,270,853,31,8150,4142,31,118,522,1146,6,410,316,6,222,1,523,157,423,186,232,346,9946,119,464,0,10,80,200,71,53,21,28,51,100,163,106,12,18,23,1037,608,6,8,1379,20,2038,42,3,133,2,1
TCGA-33-4533-01,5162,8959,2292,11368,1389,3306,1604,706,828,2524,717,5299,357,1811,736,710,4773,3373,7656,4893,1395,1794,2944,337,387,467,1263,0,1476,303,250,322,5,294,870,160,1,8826,1076,383,265,2998,3,230,385,131,850,1625,871,673,5286,311,406,1615,3174,963,6,0,17,733,606,87,400,11,598,468,244,34,364,237,5,728,1272,513,175,37,205,1842,372,694,397,8,0,0
TCGA-33-4538-01,5501,3157,2487,11015,118,4138,477,844,648,3768,427,2291,235,155,140,857,2859,3652,21,7554,928,1030,467,884,479,55,284,3,117,69,21446,304,0,29,684,13,2,499,11,88,282,1044,0,52,455,0,409,1612,537,498,482,78,221,1247,3485,790,5,0,5,14,44,124,285,1,134,672,31,252,840,24,12,24,1056,34,14,8,23,158,67,2,3,4,0,0
TCGA-33-4547-01,2035,2972,630,7096,306,3277,340,864,1044,1974,514,4665,182,173,621,819,2864,4387,167,5292,1138,1873,1011,601,1057,557,393,4,96,250,1227,997,3,68,906,124,9,1267,77,130,395,1667,1,763,660,12,555,584,534,363,1165,220,447,3229,5872,862,1196,0,7,3,135,97,5,16,98,286,10,188,177,31,12,88,394,373,5,9,91,112,24,45,9,93,1,0
TCGA-33-4566-01,3734,1230,433,5251,0,1971,51,189,179,3513,157,1708,0,18,73,3757,300,610,1,2237,853,869,1691,165,269,62,135,0,8,77,1901,158,0,53,549,7,1,985,0,15,630,676,0,1,450,0,187,6,57,153,1004,6,300,2858,2338,47,32,0,115,0,41,172,612,0,66,5,85,775,32,0,7,0,2,452,4,2,13,0,554,1,0,26,0,0
TCGA-33-4582-01,6320,1820,1155,29320,435,3720,137,401,496,4089,147,1062,74,17,100,313,8468,947,49,8369,1330,3366,289,249,131,45,305,2793,1118,76,936,267,5,100,904,9,4,637,16,1011,297,479,7,45,257,5,130,323,624,35,130,50,213,1002,6381,158,232,348,2,33,65,28,214,91,977,2,15,145,55,1,3379,4,1225,78,0,4,1010,222,20,4,3,8,0,0
TCGA-33-4583-01,3834,2481,1394,4949,183,2228,110,190,177,3943,73,399,37,23,47,618,1464,1043,1,6333,131,187,101,66,137,89,184,1,97,31,2407,261,0,43,136,3,0,99,1,36,132,142,1,89,169,0,104,215,69,66,121,10,60,208,1630,204,36,0,1,7,223,18,151,1,130,50,1,75,72,0,4,7,18,25,6,4,11,0,18,26,2,12,0,0
TCGA-33-4586-01,4490,2381,871,17563,860,4880,13,619,799,6784,376,2692,10,99,223,1030,3012,4935,54,17836,1406,1300,1135,110,308,142,493,1,494,277,9320,1509,0,176,648,10,0,497,16,690,300,438,5,227,410,3,295,390,481,390,685,60,258,1993,7664,409,495,0,6,389,286,46,1490,9,400,134,52,183,403,11,72,15,1660,235,2,136,52,15,94,6,62,5,0,0
TCGA-33-4587-01,5111,11791,3260,14051,402,9275,1,1260,822,4502,882,1812,28,73,329,7742,3643,11301,1844,3603,685,4772,567,532,564,47,877,331,183,281,369,533,137,19,1014,100,222,741,23,1151,627,4005,9,5,393,106,813,3,6551,338,1832,646,231,4137,5845,56,7,0,10,2,11,118,2328,8,575,76,655,568,1816,0,7,1,2989,50,1,82,7,61,43,124,26,16,0,1
TCGA-33-4589-01,7504,2373,1072,7820,510,1434,73,150,161,4051,92,1792,172,21,32,415,19610,347,9,3015,241,564,102,442,533,185,366,1,547,41,3060,95,94,9,2325,16,0,1618,0,165,632,70,84,96,1771,0,532,2,194,36,167,4,1387,1902,2933,916,1,0,461,0,14,529,2391,102,1,75,1,1295,16,22,405,4,26,897,2,508,94,921,6037,862,0,76,260,17
TCGA-33-6737-01,15026,5075,3444,21752,2,8997,753,2094,1048,3068,1329,9863,3,2089,229,10740,7369,5851,270,36222,2540,5140,9075,867,894,95,602,6,15,491,15885,6351,60,127,1214,11,51,3926,0,130,1578,8411,87,26,1389,8,932,6,794,162,32898,418,671,3639,20430,128,3201,63,69,8,280,191,505,72,36,1228,564,388,187,64,7,41,32,2809,50,29,24,305,2835,1,2,240,2031,12
TCGA-33-6738-01,415,2869,419,12962,339,1553,46,524,702,1795,323,3798,62,106,321,4353,4453,3008,207,15907,10238,7857,391,225,350,1967,182,188,63,849,9849,234,47,218,374,461,40,643,3,124,341,2484,47,14,627,16,311,23,1630,86,2455,359,297,5581,13101,412,220,90,9,9,315,38,428,58,82,236,76,273,186,1,314,7,1469,54,5,7,9,49,122,1,1,73,13,0
TCGA-33-A4WN-01,4743,3143,936,17232,143,3076,222,239,972,2304,194,1609,6,94,47,1540,2251,6181,31,7413,1244,972,293,256,250,83,311,8,189,96,6694,636,1411,65,549,66,1906,192,15,1116,375,430,3,452,458,2,375,517,965,262,332,56,188,4498,5560,77,80,94,4,2,363,63,138,76,589,52,386,318,107,3,2134,5,367,77,28,6,34,25,88,3,2,135,1,0
